Codigo;Nome;VolInic;Vmin;Vmax;Tipo;Jusante;Desvio;Submercado;PenalVert;PenalTurb;ProdEsp;Turbina;Perda
0; CAMARGOS     ;786.09;120;792;RV     ;1;   -   ;Fic2;0.2;0.8;1;Kaplan;0.095
1; ITUTINGA     ;11;11;11;FD     ;2;   -   ;Fic2;0.2;0.8;1;Kaplan;0.631
2; FUNIL-GRANDE ;304;304;304;FD     ;3;   -   ;Fic2;0.2;0.8;1;Kaplan;0.394
3; FURNAS       ;16145.84;5733;22950;RV     ;-;   -   ;Fic2;0.2;0.8;1;Kaplan;0.803
