PeriodoInicial;PeriodoFinal;CodigoUsina;NomeUsina;Variavel;Linf;Lsup
47;48;0; CAMARGOS     ;VOL;786.09;
47;48;1; ITUTINGA     ;VOL;11;
47;48;2; FUNIL-GRANDE ;VOL;304;
47;48;3; FURNAS       ;VOL;16145.84;
