Codigo;Nome;VolInic;Vmin;Vmax;Tipo;Jusante;Desvio;Submercado;PenalVert;PenalTurb;ProdEsp;Turbina;Perda
73; JORDAO       ;90.87;85;110;RV     ;77;76; S      ;0.2;0.8;0;Kaplan;0
74; G.B. MUNHOZ  ;2706.46;1974;5779;RV     ;76;   -   ; S      ;0.2;0.8;0.008952;Kaplan;2.306
76; SEGREDO      ;2629.98;2562;2950;RV     ;77;   -   ; S      ;0.2;0.8;0.008865;Kaplan;1.645
77; SLT.SANTIAGO ;3893.43;2662;6775;RV     ;78;   -   ; S      ;0.2;0.8;0.009047;Kaplan;1.922
78; SALTO OSORIO ;1098.26;721;1123.67;RV     ;82;   -   ; S      ;0.2;0.8;0.008488;Kaplan;1.593
82; SALTO CAXIAS ;3410.69;3300;3572.76;RV     ;83;   -   ; S      ;0.2;0.8;0.008667;Kaplan;0.803
83; BAIXO IGUACU ;190.74;178.7;211.92;RV     ;   -   ;   -   ; S      ;0.2;0.8;0.009094;Kaplan;0.29
86; BARRA GRANDE ;3442.82;2711.79;4904.45;RV     ;91;   -   ; S      ;0.2;0.8;0.009218;Kaplan;2.794
87; CANASTRA     ;0.18;0.18;0.38;FD     ;;; S      ;0.2;0.8;0.008473;Kaplan;13.81
88; SAO ROQUE    ;421.63;336.72;795.67;RV     ;89;   -   ; S      ;0.2;0.8;0.008878;Kaplan;0.6
89; GARIBALDI    ;250.96;232;296;RV     ;90;   -   ; S      ;0.2;0.8;0.008626;Kaplan;1.19
90; CAMPOS NOVOS ;1395.61;1320;1477;RV     ;91;   -   ; S      ;0.2;0.8;0.009083;Kaplan;2.476
91; MACHADINHO   ;2493.34;2283;3340;RV     ;92;   -   ; S      ;0.2;0.8;0.009034;Kaplan;1.476
92; ITA          ;4882.13;4301.93;5099.78;RV     ;103;   -   ; S      ;0.2;0.8;0.008941;Kaplan;1.699
93; PASSO FUNDO  ;982.33;185;1589;RV     ;94;   -   ; S      ;0.2;0.8;0.008805;Kaplan;6.069
94; MONJOLINHO   ;147.29;147.29;147.29;FD     ;103;   -   ; S      ;0.2;0.8;0.008795;Kaplan;1.674
95; QUEBRA QUEIX ;120.4;111;137;RV     ;   -   ;   -   ; S      ;0.2;0.8;0.008718;Kaplan;2.155
