Codigo;Nome;Conjunto;Unidade;Pmin;Pmax;Ton;Toff;StatusInic;Tinic;Barra;MaxTurb;CustoPartida;CustoDesliga;Hef
82; SALTO CAXIAS ;1;4;31;310;0;0;0;0;0;547;0;0;65.4
83; BAIXO IGUACU ;1;3;11.673;116.73;0;0;0;0;0;839;0;0;15.29
86; BARRA GRANDE ;1;3;23;230;0;0;0;0;0;168;0;0;148.37
87; CANASTRA     ;1;2;2.24;22.4;0;0;0;0;0;8;0;0;319.25
88; SAO ROQUE    ;1;3;4.73;47.3;0;0;0;0;0;110;0;0;48.6
89; GARIBALDI    ;1;3;6.3;63;0;0;0;0;0;174;0;0;41.9
90; CAMPOS NOVOS ;1;3;29.333;293.33;0;0;0;0;0;182;0;0;177
91; MACHADINHO   ;1;3;38;380;0;0;0;0;0;432;0;0;97.3
92; ITA          ;1;5;29;290;0;0;0;0;0;318;0;0;102
93; PASSO FUNDO  ;1;2;11.3;113;0;0;0;0;0;52;0;0;247
94; MONJOLINHO   ;1;2;3.7;37;0;0;0;0;0;78;0;0;54
95; QUEBRA QUEIX ;1;3;4;40;0;0;0;0;0;39;0;0;117.7
97; CASTRO ALVES ;1;3;4.333;43.33;0;0;0;0;0;53;0;0;91
98; MONTE CLARO  ;1;2;6.5;65;0;0;0;0;0;188;0;0;38.8
99; 14 DE JULHO  ;1;2;5;50;0;0;0;0;0;173;0;0;32.4
101; SAO JOSE     ;1;2;2.55;25.5;0;0;0;0;0;141;0;0;20.3
102; PASSO S JOAO ;1;2;3.85;38.5;0;0;0;0;0;166;0;0;26
103; FOZ CHAPECO  ;1;4;21.375;213.75;0;0;0;0;0;484;0;0;49.8
111; PASSO REAL   ;1;1;8.2;82;0;0;0;0;0;246;0;0;36.8
111; PASSO REAL   ;2;1;7.6;76;0;0;0;0;0;228;0;0;36.8
112; JACUI        ;1;6;3;30;0;0;0;0;0;39;0;0;89
113; ITAUBA       ;1;4;12.51;125.1;0;0;0;0;0;157;0;0;87.5
114; D. FRANCISCA ;1;2;6.25;62.5;0;0;0;0;0;185;0;0;38.5
115; G.P. SOUZA   ;1;4;6.5;65;0;0;0;0;0;10;0;0;714.3
119; HENRY BORDEN ;1;1;4;40;0;0;0;0;0;7;0;0;711.5
119; HENRY BORDEN ;2;1;3.6;36;0;0;0;0;0;6;0;0;711.5
119; HENRY BORDEN ;3;5;6.5;65;0;0;0;0;0;12;0;0;711.5
119; HENRY BORDEN ;4;1;6.8;68;0;0;0;0;0;12;0;0;711.5
119; HENRY BORDEN ;5;6;7;70;0;0;0;0;0;12;0;0;711.5
120; JAGUARI      ;1;2;1.38;13.8;0;0;0;0;0;32;0;0;49.9
121; PARAIBUNA    ;1;1;4.304;43.04;0;0;0;0;0;63;0;0;78.3
121; PARAIBUNA    ;2;1;4.398;43.98;0;0;0;0;0;65;0;0;78.3
122; SANTA BRANCA ;1;2;2.802;28.02;0;0;0;0;0;71;0;0;44
123; FUNIL        ;1;3;7.2;72;0;0;0;0;0;120;0;0;69.6
126; PICADA       ;1;2;2.5;25;0;0;0;0;0;22;0;0;130.4
127; SOBRAGI      ;1;3;2;20;0;0;0;0;0;29;0;0;78
129; SIMPLICIO    ;1;3;10.19;101.9;0;0;0;0;0;103;0;0;111.46
130; ILHA POMBOS  ;1;1;2.741;27.41;0;0;0;0;0;97;0;0;33.34
130; ILHA POMBOS  ;2;1;2.73;27.3;0;0;0;0;0;97;0;0;33.34
130; ILHA POMBOS  ;3;1;3.201;32.01;0;0;0;0;0;113;0;0;33.34
130; ILHA POMBOS  ;4;1;4.905;49.05;0;0;0;0;0;173;0;0;33.34
130; ILHA POMBOS  ;5;1;5.14;51.4;0;0;0;0;0;182;0;0;33.34
131; NILO PECANHA ;1;2;4.762;47.62;0;0;0;0;0;18;0;0;309.2
131; NILO PECANHA ;2;4;7.12;71.2;0;0;0;0;0;26;0;0;309.2
133; P. PASSOS    ;1;2;4.995;49.95;0;0;0;0;0;155;0;0;37.6
134; SALTO GRANDE ;1;2;2.7;27;0;0;0;0;0;34;0;0;93
134; SALTO GRANDE ;2;2;2.4;24;0;0;0;0;0;30;0;0;93
135; P. ESTRELA   ;1;2;5.612;56.12;0;0;0;0;0;127;0;0;49.1
139; CANDONGA     ;1;3;4.667;46.67;0;0;0;0;0;106;0;0;48.6
141; BAGUARI      ;1;4;3.5;35;0;0;0;0;0;224;0;0;17.4
143; AIMORES      ;1;3;11;110;0;0;0;0;0;442;0;0;27.9
144; MASCARENHAS  ;1;4;4.95;49.5;0;0;0;0;0;303;0;0;18.26
145; SUICA        ;1;1;1.654;16.54;0;0;0;0;0;8;0;0;232.87
145; SUICA        ;2;1;1.879;18.79;0;0;0;0;0;9;0;0;232.87
146; FONTES C     ;1;1;4.4;44;0;0;0;0;0;16;0;0;303.3
147; FONTES AB    ;1;2;4.4;44;0;0;0;0;0;17;0;0;303.3
148; IRAPE        ;1;3;13.3;133;0;0;0;0;0;92;0;0;166.4
153; SAO DOMINGOS ;1;2;2.4;24;0;0;0;0;0;81;0;0;33.27
154; ITAPEBI      ;1;1;15.395;153.95;0;0;0;0;0;227;0;0;76.7
154; ITAPEBI      ;2;1;15.402;154.02;0;0;0;0;0;227;0;0;76.7
154; ITAPEBI      ;3;1;15.405;154.05;0;0;0;0;0;227;0;0;76.7
155; RETIRO BAIXO ;1;1;4.18;41.8;0;0;0;0;0;128;0;0;36.54
155; RETIRO BAIXO ;2;1;4.185;41.85;0;0;0;0;0;128;0;0;36.54
156; TRES MARIAS  ;1;6;6.6;66;0;0;0;0;0;151;0;0;50.2
162; QUEIMADO     ;1;3;3.5;35;0;0;0;0;0;23;0;0;168.1
169; SOBRADINHO   ;1;6;17.505;175.05;0;0;0;0;0;725;0;0;27.2
172; ITAPARICA    ;1;6;24.66;246.6;0;0;0;0;0;555;0;0;50.8
173; MOXOTO       ;1;4;10;100;0;0;0;0;0;557;0;0;20
174; P.AFONSO 123 ;1;3;6;60;0;0;0;0;0;84;0;0;81
174; P.AFONSO 123 ;2;1;7;70;0;0;0;0;0;97;0;0;82
