Codigo;Nome;Barra;Submercado
383; 5G1823 _MMGD ;1823; S       
384; 5G1825 _MMGD ;1825; SE      
385; 5G1841 _MMGD ;1841; SE      
386; 5G1842 _MMGD ;1842; SE      
387; 5G1843 _MMGD ;1843; SE      
388; 5G1844 _MMGD ;1844; SE      
389; 5G1845 _MMGD ;1845; SE      
390; 5G1846 _MMGD ;1846; SE      
391; 5G1847 _MMGD ;1847; S       
392; 5G1854 _MMGD ;1854; SE      
393; 5G1855 _MMGD ;1855; SE      
394; 5G1856 _MMGD ;1856; SE      
395; 5G1857 _MMGD ;1857; SE      
396; D1PAS  _PARA ;1859; SE      
397; D1REVH _RETI ;1859; SE      
398; D1UASU _Alto ;1859; SE      
399; D1BURI _Buri ;1863; SE      
400; D1UPPD _Port ;1863; SE      
401; 5G1886 _MMGD ;1886; SE      
402; 5G1891 _MMGD ;1891; SE      
403; 5G1892 _MMGD ;1892; SE      
404; VOVOT2 _CJT  ;1927; SE      
405; D3UBUG _Bugr ;2050; S       
406; D3UPIN _Pass ;2050; S       
407; D3UTOC _Toca ;2050; S       
408; 5G2053 _MMGD ;2053; S       
409; 5G2055 _MMGD ;2055; S       
410; 5G2056 _MMGD ;2056; S       
411; 5G2065 _MMGD ;2065; S       
412; D3ABNA _Abau ;2069; S       
413; D3ENER _Ener ;2069; S       
414; 5G2070 _MMGD ;2070; S       
415; 5G2079 _MMGD ;2079; S       
416; 5G2081 _MMGD ;2081; S       
417; 5G2083 _MMGD ;2083; S       
418; 5G2087 _MMGD ;2087; S       
419; D3BIOR _Biot ;2087; S       
420; D3CACH _Cach ;2087; S       
421; D3RINO _Rinc ;2087; S       
422; 5G2088 _MMGD ;2088; S       
423; 5G2090 _MMGD ;2090; S       
424; 5G2094 _MMGD ;2094; S       
425; 5G2099 _MMGD ;2099; S       
426; 5G2100 _MMGD ;2100; SE      
427; A6UGP  _Gavi ;2101; SE      
428; A4UAM  _Amer ;2102; SE      
429; A6USP  _Pinh ;2103; SE      
430; 5G2104 _MMGD ;2104; SE      
431; 5G2105 _MMGD ;2105; SE      
432; 5G2106 _MMGD ;2106; SE      
433; 5G2107 _MMGD ;2107; SE      
434; 5G2108 _MMGD ;2108; SE      
435; 5G2110 _MMGD ;2110; SE      
436; 5G2111 _MMGD ;2111; SE      
437; 5G2113 _MMGD ;2113; SE      
438; 5G2114 _MMGD ;2114; SE      
439; 5G2116 _MMGD ;2116; SE      
440; 5G2117 _MMGD ;2117; SE      
441; 5G2119 _MMGD ;2119; SE      
442; 5G2122 _MMGD ;2122; SE      
443; 5G2124 _MMGD ;2124; SE      
444; 5G2125 _MMGD ;2125; SE      
445; 5G2127 _MMGD ;2127; SE      
446; 5G2128 _MMGD ;2128; SE      
447; 5G2130 _MMGD ;2130; SE      
448; 5G2132 _MMGD ;2132; SE      
449; 5G2133 _MMGD ;2133; SE      
450; 5G2135 _MMGD ;2135; SE      
451; 5G2136 _MMGD ;2136; SE      
452; A4SAOI _SAO  ;2137; SE      
453; A4SAOM _SAO  ;2137; SE      
454; A6SMBI _Sao  ;2137; SE      
455; A6YSD  _SANT ;2137; SE      
456; 5G2138 _MMGD ;2138; SE      
457; 5G2139 _MMGD ;2139; SE      
458; 5G2140 _MMGD ;2140; SE      
459; 5G2142 _MMGD ;2142; SE      
460; 5G2143 _MMGD ;2143; SE      
461; 5G2145 _MMGD ;2145; SE      
462; 5G2146 _MMGD ;2146; SE      
463; 5G2147 _MMGD ;2147; SE      
464; 5G2149 _MMGD ;2149; SE      
465; 5G2150 _MMGD ;2150; SE      
466; A4LOBO _SALT ;2150; SE      
467; 5G2151 _MMGD ;2151; SE      
468; 5G2153 _MMGD ;2153; SE      
469; 5G2157 _MMGD ;2157; SE      
470; 5G2159 _MMGD ;2159; SE      
471; 5G2160 _MMGD ;2160; SE      
472; 5G2161 _MMGD ;2161; SE      
473; 5G2162 _MMGD ;2162; SE      
474; 5G2165 _MMGD ;2165; SE      
475; 5G2166 _MMGD ;2166; SE      
476; 5G2167 _MMGD ;2167; SE      
477; 5G2168 _MMGD ;2168; SE      
478; 5G2169 _MMGD ;2169; SE      
479; 5G2171 _MMGD ;2171; SE      
480; 5G2172 _MMGD ;2172; SE      
481; 5G2174 _MMGD ;2174; SE      
482; 5G2177 _MMGD ;2177; SE      
483; 5G2179 _MMGD ;2179; SE      
484; 5G2181 _MMGD ;2181; SE      
485; 5G2183 _MMGD ;2183; SE      
486; 5G2184 _MMGD ;2184; SE      
487; 5G2187 _MMGD ;2187; SE      
488; 5G2188 _MMGD ;2188; SE      
489; 5G2189 _MMGD ;2189; SE      
490; 5G2190 _MMGD ;2190; SE      
491; 5G2194 _MMGD ;2194; SE      
492; 5G2195 _MMGD ;2195; SE      
493; 5G2196 _MMGD ;2196; SE      
494; 5G2198 _MMGD ;2198; SE      
495; 5G2199 _MMGD ;2199; SE      
496; 5G2200 _MMGD ;2200; SE      
497; 5G2206 _MMGD ;2206; SE      
498; 5G2208 _MMGD ;2208; SE      
499; 5G2212 _MMGD ;2212; SE      
500; 5G2215 _MMGD ;2215; SE      
501; 5G2216 _MMGD ;2216; SE      
502; 5G2217 _MMGD ;2217; SE      
503; 5G2220 _MMGD ;2220; SE      
504; 5G2221 _MMGD ;2221; SE      
505; 5G2222 _MMGD ;2222; SE      
506; 5G2223 _MMGD ;2223; SE      
507; 5G2224 _MMGD ;2224; SE      
508; 5G2227 _MMGD ;2227; SE      
509; 5G2229 _MMGD ;2229; SE      
510; A4RHOI _RHOD ;2231; SE      
511; 5G2232 _MMGD ;2232; SE      
512; 5G2233 _MMGD ;2233; SE      
513; 5G2234 _MMGD ;2234; SE      
514; 5G2235 _MMGD ;2235; SE      
515; 5G2236 _MMGD ;2236; SE      
516; 5G2237 _MMGD ;2237; SE      
517; 5G2238 _MMGD ;2238; SE      
518; 5G2239 _MMGD ;2239; SE      
519; 5G2240 _MMGD ;2240; SE      
520; A4TANQ _TANQ ;2241; SE      
521; 5G2242 _MMGD ;2242; SE      
